"","KLCODE","DATE","source","REGIO","SUBREGIO","AGE","SEX","PM","MASS","BILL","WING","TOTHD","TARS","TATO","MONTH","jdate","SS"
"23449","R6BRBB",2014-03-06,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,65,"Lap"
"23450","R4BWRW",2014-03-06,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,65,"Lap"
"23451","L2YLBB",2014-03-06,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,65,"Lap"
"23452","R1BRBB",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23454","L4LYRB",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23455","Y6YRYW",2014-03-07,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,66,"Lap"
"23456","R1WYWY",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23457","R3WBRB",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23458","L1YLBY",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23459","L2YLBB",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23461","R1RWBR",2014-03-08,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,67,"Lap"
"23462","Y8WYBB",2014-03-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,68,"Lap"
"23463","L2YLBB",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23464","R1BRWY",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23465","Y1YWRY",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23468","R2YYRW",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23469","R1BRYR",2014-03-10,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,69,"Lap"
"23470","Y1YWRW",2014-03-31,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,3,90,"Lap"
"23471","Y4RYYR",2014-03-31,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,3,90,"Lap"
"23472","R1BBRR",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23473","Y1RBWB",2014-04-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23474","R3WYRB",2014-04-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23475","R7RRWY",2014-04-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23476","R2YYRW",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23480","R6WRWB",2014-04-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23481","R7RRRR",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23482","R1BRBB",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23484","R3YYRR",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23486","R7WYBW",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23487","Y7YRWW",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23488","R1BRRR",2014-04-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23489","Y6BBBR",2014-04-09,"OBS","WW","GR",NA,"9",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
"23490","R3BWYB",2014-04-09,"OBS","WW","GR",NA,"M",NA,NA,NA,NA,NA,NA,NA,4,99,"Lap"
